"Image_FileName_brightfield","Image_PathName_brightfield","Metadata_fld","Metadata_channel","Metadata_parent","Metadata_original","Metadata_zst"
"r02c01f01p14-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c01f01p14-ch2sk1fk1fl1","14"
"r02c01f01p15-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c01f01p15-ch2sk1fk1fl1","15"
"r02c01f01p16-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f01","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c01f01p16-ch2sk1fk1fl1","16"
"r02c01f02p01-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c01f02p01-ch2sk1fk1fl1","01"
"r02c01f02p02-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c01f02p02-ch2sk1fk1fl1","02"
"r02c01f02p03-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c01f02p03-ch2sk1fk1fl1","03"
"r02c01f02p04-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c01f02p04-ch2sk1fk1fl1","04"
"r02c01f02p05-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c01f02p05-ch2sk1fk1fl1","05"
"r02c01f02p06-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c01f02p06-ch2sk1fk1fl1","06"
"r02c01f02p07-ch2sk1fk1fl1.tiff","/home/ubuntu/bucket/inbox/000012045003__2018-09-28T20_42_19-Measurement_5/Images","f02","ch2","000012045003__2018-09-28T20_42_19-Measurement_5","r02c01f02p07-ch2sk1fk1fl1","07"
